"","Source","Target","Weight"
"1","Q10954578","Q10973854",13
"2","Q10954578","Q11044054",9
"3","Q10954578","Q11127329",7
"4","Q10954578","Q13429672",8
"5","Q10954578","Q15080994",5
"6","Q10954578","Q22897",24
"7","Q10954578","Q3186256",23
"8","Q10954578","Q3621820",19
"9","Q10954578","Q3916099",22
"10","Q10954578","Q4048254",20
"11","Q10954578","Q4167410",27
"12","Q10954578","Q4167836",19
"13","Q10954578","Q4345841",25
"14","Q10954578","Q4592334",19
"15","Q10954578","Q4616152",8
"16","Q10954578","Q4616470",20
"17","Q10954578","Q4654351",17
"18","Q10954578","Q4654366",9
"19","Q10954578","Q4654415",13
"20","Q10954578","Q4654447",3
"21","Q10954578","Q4654593",15
"22","Q10954578","Q4654667",17
"23","Q10954578","Q4654740",11
"24","Q10954578","Q4656487",21
"25","Q10954578","Q4656524",21
"26","Q10954578","Q4656540",10
"27","Q10954578","Q4656551",4
"28","Q10954578","Q4656567",11
"29","Q10954578","Q4657130",4
"30","Q10954578","Q4657322",16
"31","Q10954578","Q4657349",10
"32","Q10954578","Q4657380",9
"33","Q10954578","Q4657574",21
"34","Q10954578","Q4657623",14
"35","Q10954578","Q4657677",13
"36","Q10954578","Q4657775",16
"37","Q10954578","Q4657797",15
"38","Q10954578","Q4663253",21
"39","Q10954578","Q4663261",25
"40","Q10954578","Q4663273",9
"41","Q10954578","Q4663309",17
"42","Q10954578","Q4663321",12
"43","Q10954578","Q4663356",23
"44","Q10954578","Q4663389",17
"45","Q10954578","Q4663903",16
"46","Q10954578","Q4663914",18
"47","Q10954578","Q4663933",9
"48","Q10954578","Q4663944",11
"49","Q10954578","Q4663975",15
"50","Q10954578","Q4663994",15
"51","Q10954578","Q4664011",23
"52","Q10954578","Q4664090",14
"53","Q10954578","Q4664109",20
"54","Q10954578","Q4994848",21
"55","Q10954578","Q55386965",16
"56","Q10954578","Q642335",20
"57","Q10954578","Q79951",18
"58","Q10954578","Q9276887",8
"59","Q10973854","Q11044054",11
"60","Q10973854","Q11127329",9
"61","Q10973854","Q13429672",9
"62","Q10973854","Q15080994",6
"63","Q10973854","Q22897",31
"64","Q10973854","Q3186256",33
"65","Q10973854","Q3621820",28
"66","Q10973854","Q3916099",32
"67","Q10973854","Q4048254",32
"68","Q10973854","Q4167410",31
"69","Q10973854","Q4167836",28
"70","Q10973854","Q4345841",35
"71","Q10973854","Q4592334",32
"72","Q10973854","Q4616152",15
"73","Q10973854","Q4616470",32
"74","Q10973854","Q4654351",27
"75","Q10973854","Q4654366",14
"76","Q10973854","Q4654415",24
"77","Q10973854","Q4654447",4
"78","Q10973854","Q4654593",24
"79","Q10973854","Q4654667",23
"80","Q10973854","Q4654740",17
"81","Q10973854","Q4656487",34
"82","Q10973854","Q4656524",31
"83","Q10973854","Q4656540",14
"84","Q10973854","Q4656551",5
"85","Q10973854","Q4656567",17
"86","Q10973854","Q4657130",4
"87","Q10973854","Q4657322",25
"88","Q10973854","Q4657349",19
"89","Q10973854","Q4657380",14
"90","Q10973854","Q4657574",35
"91","Q10973854","Q4657623",26
"92","Q10973854","Q4657677",18
"93","Q10973854","Q4657775",24
"94","Q10973854","Q4657797",27
"95","Q10973854","Q4663253",29
"96","Q10973854","Q4663261",35
"97","Q10973854","Q4663273",15
"98","Q10973854","Q4663309",23
"99","Q10973854","Q4663321",21
"100","Q10973854","Q4663356",28
"101","Q10973854","Q4663389",32
"102","Q10973854","Q4663903",26
"103","Q10973854","Q4663914",27
"104","Q10973854","Q4663933",15
"105","Q10973854","Q4663944",18
"106","Q10973854","Q4663975",24
"107","Q10973854","Q4663994",20
"108","Q10973854","Q4664011",30
"109","Q10973854","Q4664090",22
"110","Q10973854","Q4664109",26
"111","Q10973854","Q4994848",31
"112","Q10973854","Q55386965",26
"113","Q10973854","Q642335",32
"114","Q10973854","Q79951",35
"115","Q10973854","Q9276887",10
"116","Q11044054","Q11127329",7
"117","Q11044054","Q13429672",8
"118","Q11044054","Q15080994",5
"119","Q11044054","Q22897",13
"120","Q11044054","Q3186256",14
"121","Q11044054","Q3621820",12
"122","Q11044054","Q3916099",13
"123","Q11044054","Q4048254",14
"124","Q11044054","Q4167410",14
"125","Q11044054","Q4167836",12
"126","Q11044054","Q4345841",13
"127","Q11044054","Q4592334",13
"128","Q11044054","Q4616152",8
"129","Q11044054","Q4616470",13
"130","Q11044054","Q4654351",13
"131","Q11044054","Q4654366",9
"132","Q11044054","Q4654415",12
"133","Q11044054","Q4654447",4
"134","Q11044054","Q4654593",10
"135","Q11044054","Q4654667",12
"136","Q11044054","Q4654740",11
"137","Q11044054","Q4656487",14
"138","Q11044054","Q4656524",12
"139","Q11044054","Q4656540",12
"140","Q11044054","Q4656551",5
"141","Q11044054","Q4656567",8
"142","Q11044054","Q4657130",3
"143","Q11044054","Q4657322",13
"144","Q11044054","Q4657349",11
"145","Q11044054","Q4657380",9
"146","Q11044054","Q4657574",13
"147","Q11044054","Q4657623",12
"148","Q11044054","Q4657677",8
"149","Q11044054","Q4657775",12
"150","Q11044054","Q4657797",10
"151","Q11044054","Q4663253",13
"152","Q11044054","Q4663261",14
"153","Q11044054","Q4663273",10
"154","Q11044054","Q4663309",14
"155","Q11044054","Q4663321",11
"156","Q11044054","Q4663356",13
"157","Q11044054","Q4663389",13
"158","Q11044054","Q4663903",12
"159","Q11044054","Q4663914",12
"160","Q11044054","Q4663933",11
"161","Q11044054","Q4663944",11
"162","Q11044054","Q4663975",11
"163","Q11044054","Q4663994",11
"164","Q11044054","Q4664011",14
"165","Q11044054","Q4664090",13
"166","Q11044054","Q4664109",14
"167","Q11044054","Q4994848",14
"168","Q11044054","Q55386965",13
"169","Q11044054","Q642335",14
"170","Q11044054","Q79951",13
"171","Q11044054","Q9276887",8
"172","Q11127329","Q13429672",7
"173","Q11127329","Q15080994",3
"174","Q11127329","Q22897",12
"175","Q11127329","Q3186256",13
"176","Q11127329","Q3621820",13
"177","Q11127329","Q3916099",13
"178","Q11127329","Q4048254",11
"179","Q11127329","Q4167410",13
"180","Q11127329","Q4167836",10
"181","Q11127329","Q4345841",13
"182","Q11127329","Q4592334",13
"183","Q11127329","Q4616152",7
"184","Q11127329","Q4616470",13
"185","Q11127329","Q4654351",11
"186","Q11127329","Q4654366",6
"187","Q11127329","Q4654415",8
"188","Q11127329","Q4654447",3
"189","Q11127329","Q4654593",10
"190","Q11127329","Q4654667",10
"191","Q11127329","Q4654740",7
"192","Q11127329","Q4656487",13
"193","Q11127329","Q4656524",13
"194","Q11127329","Q4656540",8
"195","Q11127329","Q4656551",4
"196","Q11127329","Q4656567",8
"197","Q11127329","Q4657130",3
"198","Q11127329","Q4657322",10
"199","Q11127329","Q4657349",8
"200","Q11127329","Q4657380",7
"201","Q11127329","Q4657574",13
"202","Q11127329","Q4657623",12
"203","Q11127329","Q4657677",8
"204","Q11127329","Q4657775",10
"205","Q11127329","Q4657797",12
"206","Q11127329","Q4663253",13
"207","Q11127329","Q4663261",13
"208","Q11127329","Q4663273",8
"209","Q11127329","Q4663309",11
"210","Q11127329","Q4663321",9
"211","Q11127329","Q4663356",13
"212","Q11127329","Q4663389",12
"213","Q11127329","Q4663903",12
"214","Q11127329","Q4663914",12
"215","Q11127329","Q4663933",9
"216","Q11127329","Q4663944",9
"217","Q11127329","Q4663975",12
"218","Q11127329","Q4663994",11
"219","Q11127329","Q4664011",12
"220","Q11127329","Q4664090",11
"221","Q11127329","Q4664109",11
"222","Q11127329","Q4994848",13
"223","Q11127329","Q55386965",11
"224","Q11127329","Q642335",13
"225","Q11127329","Q79951",12
"226","Q11127329","Q9276887",4
"227","Q13429672","Q15080994",6
"228","Q13429672","Q22897",20
"229","Q13429672","Q3186256",20
"230","Q13429672","Q3621820",18
"231","Q13429672","Q3916099",19
"232","Q13429672","Q4048254",17
"233","Q13429672","Q4167410",19
"234","Q13429672","Q4167836",20
"235","Q13429672","Q4345841",20
"236","Q13429672","Q4592334",19
"237","Q13429672","Q4616152",8
"238","Q13429672","Q4616470",18
"239","Q13429672","Q4654351",20
"240","Q13429672","Q4654366",9
"241","Q13429672","Q4654415",13
"242","Q13429672","Q4654447",4
"243","Q13429672","Q4654593",17
"244","Q13429672","Q4654667",16
"245","Q13429672","Q4654740",11
"246","Q13429672","Q4656487",20
"247","Q13429672","Q4656524",19
"248","Q13429672","Q4656540",10
"249","Q13429672","Q4656551",3
"250","Q13429672","Q4656567",13
"251","Q13429672","Q4657130",2
"252","Q13429672","Q4657322",16
"253","Q13429672","Q4657349",11
"254","Q13429672","Q4657380",11
"255","Q13429672","Q4657574",20
"256","Q13429672","Q4657623",14
"257","Q13429672","Q4657677",10
"258","Q13429672","Q4657775",15
"259","Q13429672","Q4657797",16
"260","Q13429672","Q4663253",19
"261","Q13429672","Q4663261",19
"262","Q13429672","Q4663273",11
"263","Q13429672","Q4663309",18
"264","Q13429672","Q4663321",16
"265","Q13429672","Q4663356",19
"266","Q13429672","Q4663389",18
"267","Q13429672","Q4663903",18
