lang,QID,policy_name_en,category,policy_type
aa,Q4039395,Project:Administrators,Enforcement,Policy
ab,Q4039395,Project:Administrators,Enforcement,Policy
ace,Q4039395,Project:Administrators,Enforcement,Policy
ady,Q4039395,Project:Administrators,Enforcement,Policy
af,Q4039395,Project:Administrators,Enforcement,Policy
als,Q4039395,Project:Administrators,Enforcement,Policy
alt,Q4039395,Project:Administrators,Enforcement,Policy
am,Q4039395,Project:Administrators,Enforcement,Policy
ang,Q4039395,Project:Administrators,Enforcement,Policy
anp,Q4039395,Project:Administrators,Enforcement,Policy
an,Q4039395,Project:Administrators,Enforcement,Policy
arc,Q4039395,Project:Administrators,Enforcement,Policy
ar,Q4039395,Project:Administrators,Enforcement,Policy
ary,Q4039395,Project:Administrators,Enforcement,Policy
arz,Q4039395,Project:Administrators,Enforcement,Policy
ast,Q4039395,Project:Administrators,Enforcement,Policy
as,Q4039395,Project:Administrators,Enforcement,Policy
atj,Q4039395,Project:Administrators,Enforcement,Policy
av,Q4039395,Project:Administrators,Enforcement,Policy
ay,Q4039395,Project:Administrators,Enforcement,Policy
azb,Q4039395,Project:Administrators,Enforcement,Policy
az,Q4039395,Project:Administrators,Enforcement,Policy
bar,Q4039395,Project:Administrators,Enforcement,Policy
bat-smg,Q4039395,Project:Administrators,Enforcement,Policy
ba,Q4039395,Project:Administrators,Enforcement,Policy
be-tarask,Q4039395,Project:Administrators,Enforcement,Policy
be,Q4039395,Project:Administrators,Enforcement,Policy
bew,Q4039395,Project:Administrators,Enforcement,Policy
bg,Q4039395,Project:Administrators,Enforcement,Policy
bh,Q4039395,Project:Administrators,Enforcement,Policy
bjn,Q4039395,Project:Administrators,Enforcement,Policy
blk,Q4039395,Project:Administrators,Enforcement,Policy
bm,Q4039395,Project:Administrators,Enforcement,Policy
bn,Q4039395,Project:Administrators,Enforcement,Policy
bo,Q4039395,Project:Administrators,Enforcement,Policy
bpy,Q4039395,Project:Administrators,Enforcement,Policy
br,Q4039395,Project:Administrators,Enforcement,Policy
bs,Q4039395,Project:Administrators,Enforcement,Policy
bug,Q4039395,Project:Administrators,Enforcement,Policy
bxr,Q4039395,Project:Administrators,Enforcement,Policy
ca,Q4039395,Project:Administrators,Enforcement,Policy
cbk-zam,Q4039395,Project:Administrators,Enforcement,Policy
cdo,Q4039395,Project:Administrators,Enforcement,Policy
ceb,Q4039395,Project:Administrators,Enforcement,Policy
ce,Q4039395,Project:Administrators,Enforcement,Policy
chr,Q4039395,Project:Administrators,Enforcement,Policy
ckb,Q4039395,Project:Administrators,Enforcement,Policy
crh,Q4039395,Project:Administrators,Enforcement,Policy
cr,Q4039395,Project:Administrators,Enforcement,Policy
csb,Q4039395,Project:Administrators,Enforcement,Policy
cs,Q4039395,Project:Administrators,Enforcement,Policy
cv,Q4039395,Project:Administrators,Enforcement,Policy
cy,Q4039395,Project:Administrators,Enforcement,Policy
dag,Q4039395,Project:Administrators,Enforcement,Policy
da,Q4039395,Project:Administrators,Enforcement,Policy
de,Q4039395,Project:Administrators,Enforcement,Policy
diq,Q4039395,Project:Administrators,Enforcement,Policy
dsb,Q4039395,Project:Administrators,Enforcement,Policy
dv,Q4039395,Project:Administrators,Enforcement,Policy
ee,Q4039395,Project:Administrators,Enforcement,Policy
el,Q4039395,Project:Administrators,Enforcement,Policy
eml,Q4039395,Project:Administrators,Enforcement,Policy
en,Q4039395,Project:Administrators,Enforcement,Policy
eo,Q4039395,Project:Administrators,Enforcement,Policy
es,Q4039395,Project:Administrators,Enforcement,Policy
et,Q4039395,Project:Administrators,Enforcement,Policy
eu,Q4039395,Project:Administrators,Enforcement,Policy
ext,Q4039395,Project:Administrators,Enforcement,Policy
fa,Q4039395,Project:Administrators,Enforcement,Policy
ff,Q4039395,Project:Administrators,Enforcement,Policy
fiu-vro,Q4039395,Project:Administrators,Enforcement,Policy
fi,Q4039395,Project:Administrators,Enforcement,Policy
fj,Q4039395,Project:Administrators,Enforcement,Policy
fo,Q4039395,Project:Administrators,Enforcement,Policy
frp,Q4039395,Project:Administrators,Enforcement,Policy
frr,Q4039395,Project:Administrators,Enforcement,Policy
fr,Q4039395,Project:Administrators,Enforcement,Policy
fur,Q4039395,Project:Administrators,Enforcement,Policy
